dataset,pair_idx,protein,region,layer,mean_margin,final_model_prob1
real_PRS,10,protein2,n_term,2,-1.6900904615720114,0.9728524684906006
real_PRS,10,protein2,n_term,3,-1.155695100625356,0.9728524684906006
real_PRS,10,protein2,n_term,4,-0.6099189559618632,0.9728524684906006
real_PRS,10,protein2,n_term,5,-0.1525882085164388,0.9728524684906006
real_PRS,10,protein2,n_term,6,-0.2803842544555664,0.9728524684906006
real_PRS,10,protein2,n_term,7,0.24396710793177287,0.9728524684906006
real_PRS,10,protein2,n_term,8,-0.04120606581370036,0.9728524684906006
real_PRS,10,protein2,n_term,9,0.5603765090306599,0.9728524684906006
real_PRS,10,protein2,n_term,10,-0.09192522366841634,0.9728524684906006
real_PRS,10,protein2,c_term,0,-2.0570367574691772,0.9728524684906006
real_PRS,10,protein2,c_term,1,-1.9679119030634562,0.9728524684906006
real_PRS,10,protein2,c_term,2,-1.3780652046203614,0.9728524684906006
real_PRS,10,protein2,c_term,3,-0.5890061060587565,0.9728524684906006
real_PRS,10,protein2,c_term,4,-0.811420186360677,0.9728524684906006
real_PRS,10,protein2,c_term,5,-0.5510428269704183,0.9728524684906006
real_PRS,10,protein2,c_term,6,-0.26631640195846557,0.9728524684906006
real_PRS,10,protein2,c_term,7,0.0424562136332194,0.9728524684906006
real_PRS,10,protein2,c_term,8,-0.41602808237075806,0.9728524684906006
real_PRS,10,protein2,c_term,9,0.088485715786616,0.9728524684906006
real_PRS,10,protein2,c_term,10,0.10682463645935059,0.9728524684906006
real_PRS,10,protein2,middle,0,-1.6835644880930583,0.9728524684906006
real_PRS,10,protein2,middle,1,-1.7324391494194666,0.9728524684906006
real_PRS,10,protein2,middle,2,-1.0162290414174397,0.9728524684906006
real_PRS,10,protein2,middle,3,-0.694862429300944,0.9728524684906006
real_PRS,10,protein2,middle,4,-1.2100446979204813,0.9728524684906006
real_PRS,10,protein2,middle,5,-0.7139527877171834,0.9728524684906006
real_PRS,10,protein2,middle,6,-0.3869572877883911,0.9728524684906006
real_PRS,10,protein2,middle,7,0.04688701629638672,0.9728524684906006
real_PRS,10,protein2,middle,8,0.2741521994272868,0.9728524684906006
real_PRS,10,protein2,middle,9,0.6155714233716328,0.9728524684906006
real_PRS,10,protein2,middle,10,-0.32788911859194436,0.9728524684906006
real_PRS,11,protein2,n_term,0,-1.1552854577700298,0.8591323494911194
real_PRS,11,protein2,n_term,1,-1.276527730623881,0.8591323494911194
real_PRS,11,protein2,n_term,2,-0.7981171607971191,0.8591323494911194
real_PRS,11,protein2,n_term,3,-0.486358912785848,0.8591323494911194
real_PRS,11,protein2,n_term,4,-0.06726964116096497,0.8591323494911194
real_PRS,11,protein2,n_term,5,0.26377602020899454,0.8591323494911194
real_PRS,11,protein2,n_term,6,0.37094672918319704,0.8591323494911194
real_PRS,11,protein2,n_term,7,0.08360621134440104,0.8591323494911194
real_PRS,11,protein2,n_term,8,0.26338341236114504,0.8591323494911194
real_PRS,11,protein2,n_term,9,0.39852749506632484,0.8591323494911194
real_PRS,11,protein2,n_term,10,0.14899673461914062,0.8591323494911194
real_PRS,11,protein2,c_term,0,-1.9207761804262797,0.8591323494911194
real_PRS,11,protein2,c_term,1,-2.013485058148702,0.8591323494911194
real_PRS,11,protein2,c_term,2,-1.1859481811523438,0.8591323494911194
real_PRS,11,protein2,c_term,3,-0.786576493581136,0.8591323494911194
real_PRS,11,protein2,c_term,4,-0.34933341344197594,0.8591323494911194
real_PRS,11,protein2,c_term,5,-0.19572960535685222,0.8591323494911194
real_PRS,11,protein2,c_term,6,-0.28771724700927737,0.8591323494911194
real_PRS,11,protein2,c_term,7,-0.32589667638142905,0.8591323494911194
