pair_idx,protein,region,direction,baseline_margin,patched_margin,shift
9,protein2,control,real_into_random,-1.559600830078125,-1.5553216934204102,0.004279136657714844
9,protein2,control,random_into_real,-1.6170387268066406,-1.6180152893066406,-0.0009765625
10,protein1,peak,real_into_random,-2.758047103881836,-2.7570724487304688,0.0009746551513671875
10,protein1,peak,random_into_real,3.6010618209838867,3.6135597229003906,0.012497901916503906
10,protein1,control,real_into_random,-2.758047103881836,-2.7580490112304688,-1.9073486328125e-06
10,protein1,control,random_into_real,3.6010618209838867,3.601062774658203,9.5367431640625e-07
10,protein2,peak,real_into_random,-2.758047103881836,-2.562803268432617,0.19524383544921875
10,protein2,peak,random_into_real,3.6010618209838867,3.577655792236328,-0.023406028747558594
10,protein2,control,real_into_random,-2.758047103881836,-2.760303497314453,-0.0022563934326171875
10,protein2,control,random_into_real,3.6010618209838867,3.590399742126465,-0.010662078857421875
11,protein1,peak,real_into_random,-1.6345462799072266,-1.6343631744384766,0.00018310546875
11,protein1,peak,random_into_real,1.8089065551757812,1.8160285949707031,0.007122039794921875
11,protein1,control,real_into_random,-1.6345462799072266,-1.6345462799072266,0.0
11,protein1,control,random_into_real,1.8089065551757812,1.8089056015014648,-9.5367431640625e-07
11,protein2,peak,real_into_random,-1.6345462799072266,-1.6346158981323242,-6.961822509765625e-05
11,protein2,peak,random_into_real,1.8089065551757812,1.8081045150756836,-0.0008020401000976562
11,protein2,control,real_into_random,-1.6345462799072266,-1.6323204040527344,0.0022258758544921875
11,protein2,control,random_into_real,1.8089065551757812,1.8069267272949219,-0.001979827880859375
12,protein1,peak,real_into_random,-2.279604911804199,-2.280241012573242,-0.0006361007690429688
12,protein1,peak,random_into_real,2.184659957885742,2.1759824752807617,-0.008677482604980469
12,protein1,control,real_into_random,-2.279604911804199,-2.280327796936035,-0.0007228851318359375
12,protein1,control,random_into_real,2.184659957885742,2.1944150924682617,0.009755134582519531
12,protein2,peak,real_into_random,-2.279604911804199,-2.2796401977539062,-3.528594970703125e-05
12,protein2,peak,random_into_real,2.184659957885742,2.220526695251465,0.035866737365722656
12,protein2,control,real_into_random,-2.279604911804199,-2.2784223556518555,0.00118255615234375
12,protein2,control,random_into_real,2.184659957885742,2.1877059936523438,0.0030460357666015625
13,protein1,peak,real_into_random,-1.9186058044433594,-1.9015703201293945,0.017035484313964844
13,protein1,peak,random_into_real,3.7224884033203125,3.7042388916015625,-0.01824951171875
13,protein1,control,real_into_random,-1.9186058044433594,-1.918722152709961,-0.0001163482666015625
13,protein1,control,random_into_real,3.7224884033203125,3.7262353897094727,0.0037469863891601562
13,protein2,peak,real_into_random,-1.9186058044433594,-1.9187707901000977,-0.00016498565673828125
13,protein2,peak,random_into_real,3.7224884033203125,3.722322463989258,-0.0001659393310546875
13,protein2,control,real_into_random,-1.9186058044433594,-1.9228315353393555,-0.004225730895996094
13,protein2,control,random_into_real,3.7224884033203125,3.726494789123535,0.004006385803222656
14,protein1,peak,real_into_random,-1.6831073760986328,-1.677842140197754,0.005265235900878906
14,protein1,peak,random_into_real,4.628627777099609,4.641786575317383,0.013158798217773438
14,protein1,control,real_into_random,-1.6831073760986328,-1.677809715270996,0.005297660827636719
14,protein1,control,random_into_real,4.628627777099609,4.58587646484375,-0.042751312255859375
14,protein2,peak,real_into_random,-1.6831073760986328,-1.4547109603881836,0.22839641571044922
14,protein2,peak,random_into_real,4.628627777099609,4.622361183166504,-0.006266593933105469
14,protein2,control,real_into_random,-1.6831073760986328,-1.686629295349121,-0.0035219192504882812
14,protein2,control,random_into_real,4.628627777099609,4.653125762939453,0.02449798583984375
15,protein1,peak,real_into_random,-1.7180109024047852,-1.7185277938842773,-0.0005168914794921875
15,protein1,peak,random_into_real,-1.7261123657226562,-1.7244195938110352,0.0016927719116210938
15,protein1,control,real_into_random,-1.7180109024047852,-1.7180118560791016,-9.5367431640625e-07
15,protein1,control,random_into_real,-1.7261123657226562,-1.7261133193969727,-9.5367431640625e-07
15,protein2,peak,real_into_random,-1.7180109024047852,-1.7360658645629883,-0.018054962158203125
15,protein2,peak,random_into_real,-1.7261123657226562,-1.6791229248046875,0.04698944091796875
15,protein2,control,real_into_random,-1.7180109024047852,-1.7187213897705078,-0.0007104873657226562
15,protein2,control,random_into_real,-1.7261123657226562,-1.7237529754638672,0.0023593902587890625
16,protein1,peak,real_into_random,-0.9807815551757812,-0.9893302917480469,-0.008548736572265625
16,protein1,peak,random_into_real,6.328563690185547,6.324755668640137,-0.0038080215454101562
16,protein1,control,real_into_random,-0.9807815551757812,-0.9798164367675781,0.000965118408203125
16,protein1,control,random_into_real,6.328563690185547,6.328779220581055,0.0002155303955078125
16,protein2,peak,real_into_random,-0.9807815551757812,-0.7598590850830078,0.22092247009277344
16,protein2,peak,random_into_real,6.328563690185547,6.319964408874512,-0.008599281311035156
16,protein2,control,real_into_random,-0.9807815551757812,-0.982386589050293,-0.0016050338745117188
16,protein2,control,random_into_real,6.328563690185547,6.329385757446289,0.0008220672607421875
17,protein1,peak,real_into_random,-1.597482681274414,-1.5987472534179688,-0.0012645721435546875
17,protein1,peak,random_into_real,-1.1702804565429688,-1.1677284240722656,0.002552032470703125
17,protein1,control,real_into_random,-1.597482681274414,-1.5947017669677734,0.002780914306640625
17,protein1,control,random_into_real,-1.1702804565429688,-1.1740083694458008,-0.0037279129028320312
17,protein2,peak,real_into_random,-1.597482681274414,-1.6035213470458984,-0.006038665771484375
17,protein2,peak,random_into_real,-1.1702804565429688,-1.1641845703125,0.00609588623046875
17,protein2,control,real_into_random,-1.597482681274414,-1.597818374633789,-0.000335693359375
17,protein2,control,random_into_real,-1.1702804565429688,-1.1705360412597656,-0.000255584716796875
18,protein1,peak,real_into_random,2.3076038360595703,2.306239128112793,-0.0013647079467773438
18,protein1,peak,random_into_real,1.7951850891113281,1.763519287109375,-0.031665802001953125
18,protein1,control,real_into_random,2.3076038360595703,2.3119735717773438,0.0043697357177734375
18,protein1,control,random_into_real,1.7951850891113281,1.7839593887329102,-0.011225700378417969
18,protein2,peak,real_into_random,2.3076038360595703,2.3093948364257812,0.0017910003662109375
18,protein2,peak,random_into_real,1.7951850891113281,1.8954505920410156,0.1002655029296875
18,protein2,control,real_into_random,2.3076038360595703,2.305112838745117,-0.002490997314453125
18,protein2,control,random_into_real,1.7951850891113281,1.8020248413085938,0.006839752197265625
19,protein1,peak,real_into_random,0.5655117034912109,0.5674142837524414,0.0019025802612304688
19,protein1,peak,random_into_real,3.1182689666748047,3.1344470977783203,0.016178131103515625
19,protein1,control,real_into_random,0.5655117034912109,0.5667381286621094,0.0012264251708984375
19,protein1,control,random_into_real,3.1182689666748047,3.1051759719848633,-0.013092994689941406
19,protein2,peak,real_into_random,0.5655117034912109,0.5586051940917969,-0.0069065093994140625
19,protein2,peak,random_into_real,3.1182689666748047,3.1211814880371094,0.0029125213623046875
19,protein2,control,real_into_random,0.5655117034912109,0.5650014877319336,-0.0005102157592773438
19,protein2,control,random_into_real,3.1182689666748047,3.119441032409668,0.0011720657348632812
20,protein1,peak,real_into_random,3.0267438888549805,3.033428192138672,0.006684303283691406
20,protein1,peak,random_into_real,-1.9932918548583984,-2.0024547576904297,-0.00916290283203125
20,protein1,control,real_into_random,3.0267438888549805,3.0187740325927734,-0.007969856262207031
20,protein1,control,random_into_real,-1.9932918548583984,-1.988295555114746,0.004996299743652344
20,protein2,peak,real_into_random,3.0267438888549805,3.029146194458008,0.0024023056030273438
