dataset,pair_idx,region,layer,mean_margin
RRS,11,middle,7,-0.3354119936625163
RRS,11,middle,8,-0.21974137624104817
RRS,11,middle,9,-0.14864883422851563
RRS,11,middle,10,-0.03774080276489258
RRS,11,c_term,0,-1.9532964706420899
RRS,11,c_term,1,-2.0262381633122764
RRS,11,c_term,2,-0.7460059364636739
RRS,11,c_term,3,-0.10201514561971028
RRS,11,c_term,4,0.18636913299560548
RRS,11,c_term,5,0.3752642313639323
RRS,11,c_term,6,0.10369367599487304
RRS,11,c_term,7,0.20120360056559244
RRS,11,c_term,8,0.282804012298584
RRS,11,c_term,9,0.26975663503011066
RRS,11,c_term,10,0.3564698855082194
RRS,12,n_term,0,-1.5926073710123698
RRS,12,n_term,1,-1.6967487335205078
RRS,12,n_term,2,-1.441784636179606
RRS,12,n_term,3,-0.7297194163004558
RRS,12,n_term,4,-0.6758825937906902
RRS,12,n_term,5,-0.43810879389444984
RRS,12,n_term,6,-0.4200179100036621
RRS,12,n_term,7,-0.4124003887176514
RRS,12,n_term,8,-0.29665889739990237
RRS,12,n_term,9,-0.543425178527832
RRS,12,n_term,10,-1.2666515668233236
RRS,12,middle,0,-1.6772066911061605
RRS,12,middle,1,-1.818565515677134
RRS,12,middle,2,-1.6568878809611003
RRS,12,middle,3,-1.332049560546875
RRS,12,middle,4,-1.006896686553955
RRS,12,middle,5,-0.5239041646321615
RRS,12,middle,6,-0.671366024017334
RRS,12,middle,7,-0.41650733947753904
RRS,12,middle,8,-0.32815478642781576
RRS,12,middle,9,-0.3073392550150553
RRS,12,middle,10,-0.19294153849283854
RRS,12,c_term,0,-1.843804407119751
RRS,12,c_term,1,-1.920301334063212
RRS,12,c_term,2,-1.5280209541320802
RRS,12,c_term,3,-1.3341340700785318
RRS,12,c_term,4,-0.850919246673584
RRS,12,c_term,5,-0.49279279708862306
RRS,12,c_term,6,-0.45305054982503257
RRS,12,c_term,7,-0.37057889302571617
RRS,12,c_term,8,-0.1880636215209961
RRS,12,c_term,9,-0.227976926167806
RRS,12,c_term,10,-0.15939753850301105
RRS,13,n_term,0,-1.1244549433390298
RRS,13,n_term,1,-1.0655927101771037
RRS,13,n_term,2,-1.0117105801900228
RRS,13,n_term,3,-0.7662513097127278
RRS,13,n_term,4,-0.1069337526957194
RRS,13,n_term,5,0.47931817372639973
RRS,13,n_term,6,0.5082804878552755
RRS,13,n_term,7,0.5749249259630839
RRS,13,n_term,8,0.6624871095021566
RRS,13,n_term,9,0.8780016104380289
RRS,13,n_term,10,0.4917954444885254
RRS,13,middle,0,-1.398510468006134
RRS,13,middle,1,-1.5693920304377873
RRS,13,middle,2,-1.0105750878651938
RRS,13,middle,3,-0.8430458386739095
RRS,13,middle,4,-0.5522374471028646
RRS,13,middle,5,-0.10623015562693278
RRS,13,middle,6,0.05782612164815267
RRS,13,middle,7,0.19542032877604168
RRS,13,middle,8,0.4783559958140055
RRS,13,middle,9,0.4497184753417969
RRS,13,middle,10,0.45411977767944334
RRS,13,c_term,0,-1.5510430653889975
RRS,13,c_term,1,-1.587054761250814
RRS,13,c_term,2,-1.0177013079325359
RRS,13,c_term,3,-0.9560948371887207
