dataset,pair_idx,region,layer,mean_margin,final_model_prob1
real_PRS,4,c_term,10,1.4755719522635142,0.7759256958961487
real_PRS,5,n_term,0,-1.2746226151784261,0.9864198565483093
real_PRS,5,n_term,1,-1.2680204232533774,0.9864198565483093
real_PRS,5,n_term,2,-1.1789857228597005,0.9864198565483093
real_PRS,5,n_term,3,-0.8873784065246582,0.9864198565483093
real_PRS,5,n_term,4,-0.4543123722076416,0.9864198565483093
real_PRS,5,n_term,5,-0.021236298481623332,0.9864198565483093
real_PRS,5,n_term,6,-0.07945052782694499,0.9864198565483093
real_PRS,5,n_term,7,-0.019611793756484985,0.9864198565483093
real_PRS,5,n_term,8,0.22483741442362468,0.9864198565483093
real_PRS,5,n_term,9,0.15786231358846028,0.9864198565483093
real_PRS,5,n_term,10,-0.2775493939717611,0.9864198565483093
real_PRS,5,c_term,0,-1.1290947318077087,0.9864198565483093
real_PRS,5,c_term,1,-1.3633168617884317,0.9864198565483093
real_PRS,5,c_term,2,-0.6422234137852987,0.9864198565483093
real_PRS,5,c_term,3,-0.5288468678792317,0.9864198565483093
real_PRS,5,c_term,4,-0.23701178232828776,0.9864198565483093
real_PRS,5,c_term,5,0.18211266199747722,0.9864198565483093
real_PRS,5,c_term,6,0.26942179997762045,0.9864198565483093
real_PRS,5,c_term,7,0.49777414004007975,0.9864198565483093
real_PRS,5,c_term,8,0.4625353495279948,0.9864198565483093
real_PRS,5,c_term,9,0.1471257209777832,0.9864198565483093
real_PRS,5,c_term,10,0.04109795888264974,0.9864198565483093
real_PRS,5,middle,0,-0.9786500175793965,0.9864198565483093
real_PRS,5,middle,1,-1.0627280592918396,0.9864198565483093
real_PRS,5,middle,2,-1.0084094047546386,0.9864198565483093
real_PRS,5,middle,3,-0.8834057172139486,0.9864198565483093
real_PRS,5,middle,4,-0.607116158803304,0.9864198565483093
real_PRS,5,middle,5,-0.5654710610707601,0.9864198565483093
real_PRS,5,middle,6,-0.4282757043838501,0.9864198565483093
real_PRS,5,middle,7,0.12057580947875976,0.9864198565483093
real_PRS,5,middle,8,0.1619596799214681,0.9864198565483093
real_PRS,5,middle,9,0.2930721918741862,0.9864198565483093
real_PRS,5,middle,10,-0.25717150370279945,0.9864198565483093
real_PRS,6,n_term,0,-1.59760639667511,0.9872393012046814
real_PRS,6,n_term,1,-1.673077901204427,0.9872393012046814
real_PRS,6,n_term,2,-1.442414887746175,0.9872393012046814
real_PRS,6,n_term,3,-0.8717777887980144,0.9872393012046814
real_PRS,6,n_term,4,-0.6844443798065185,0.9872393012046814
real_PRS,6,n_term,5,-0.23704217076301576,0.9872393012046814
real_PRS,6,n_term,6,-0.36526567141215005,0.9872393012046814
real_PRS,6,n_term,7,-0.2558105150858561,0.9872393012046814
real_PRS,6,n_term,8,-0.16512517929077147,0.9872393012046814
real_PRS,6,n_term,9,-0.07174806594848633,0.9872393012046814
real_PRS,6,n_term,10,-0.40060141881306965,0.9872393012046814
real_PRS,6,c_term,0,-1.5549555818239849,0.9872393012046814
real_PRS,6,c_term,1,-1.6726553956667582,0.9872393012046814
